,%top,ER1,ER2,ER3,ER4,ER5,ER6,ER7,EZ,LMW,LVR1,LVR1+4,LVR1+4/3+6,LVR2,LVR3,LVR3+6,LVR4,LVR5,LVR6,LVR7,LVWhole,RS,Rh source,SStoutR1,SStoutR2,SStoutR3,SStoutR4,Type,VB,boron reagent,equivs boron reagent,ligand,mol% Rh,mol% ligand,solvent,substrate,temp,time,yield
314,87.5,0,0,0,0,-0.17,0,-0.27,0,268.1827154,0,0,0,0,0,111.4802755,0,21.5742147,111.4802755,76.07416785,281.0187336,0.5,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,175.2785624,OB(C1=CC=CC2=C1C=CC=C2)O,2,L3.52,1,2.2,MeOH/CH2Cl2,O=C1C=CCCC1,25,1,45
315,2.5,0,0,0,-0.17,0,0,-0.15,0,220.1827154,64.9564121,86.53062679,86.53062679,0,0,0,21.5742147,0,0,84.57992612,243.0006285,0.5,PI/CB Rh/Ag 9,22.51198396,19.43509996,0,0,Lam,175.2785624,OB(C1=CC2=C(C=CC=C2)C=C1)O,2,L3.74,1.5,2,toluene/H2O,O=C1C=CCCC1,100,12,90
316,2,-0.09,0,0,-0.09,0,0,0,0,272.1565006,94.18429025,188.3685805,188.3685805,0,0,0,94.18429025,0,0,20.25598522,279.4546413,1,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,469.9956295,B1(C2=CC(C=CC=C3)=C3C=C2)OB(C4=CC=C(C=CC=C5)C5=C4)OB(C6=CC=C(C=CC=C7)C7=C6)O1,2,L3.1,1.5,3,dioxane/H2O,O=C1C=CCCC1,30,1,96
317,91,0,0,-0.15,0,0,-0.15,0,0,256.2191009,0,0,0,0,95.69768187,191.3953637,0,0,95.69768187,20.25598522,282.4814245,0,[Rh(C2H4)2Cl]2,22.51198396,21.5742147,0,0,Lam,134.6239983,OB(O)C1=CC=CC=C1,2,L3.8,1.5,3.3,dioxane,O=C1C=CCC1,25,16,54
318,4,0,0,0,0,0,0,0,0,248.2140155,168.7323234,168.7323234,168.7323234,0,0,0,0,0,0,32.69197045,277.5925989,0.5,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,163.1533752,CCCC/C=C/B(O)O,2,L3.19,0.5,1.1,dioxane/H2O,O=C1C=CCCC1,50,2,90
319,5,0.44,0,0,-0.17,0,0,-0.15,1,332.17763,149.7828493,171.357064,171.357064,0,0,0,21.5742147,0,0,84.57992612,327.8270656,0.5,[Rh(C2H4)2Cl]2,20.21646842,0,18.72206172,0,Lam,234.8336777,CC1(C)OB(C2=CC=CC=C2O)OC1(C)C,2,L3.80,5,10,dioxane/H2O,ClC1=CC(C(F)(F)F)=CN=C1/C=C/CCC,80,16,41
320,98,0.44,0,0,-0.17,0,0,-0.15,1,332.17763,149.7828493,171.357064,171.357064,0,0,0,21.5742147,0,0,84.57992612,327.8270656,0.5,PI/CB RhAg 15,20.77331772,0,21.5742147,0,Lam,134.6239983,OB(O)C1=CC=CC=C1,2,L3.81,1.5,2,toluene,CCC(/C=C/C)=O,100,12,82
321,2,-0.09,0,0,-0.09,0,0,0,0,272.1565006,94.18429025,188.3685805,188.3685805,0,0,0,94.18429025,0,0,20.25598522,279.4546413,1,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,180.4493604,CCCCC/C=C/B(O)O,2,L3.1,5,11,dioxane/H2O,O=C1C=CCCC1,50,1,78
322,0.3,0,0,0,-0.17,0,0,-0.15,0,220.1827154,64.9564121,86.53062679,86.53062679,0,0,0,21.5742147,0,0,84.57992612,243.0006285,0.5,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,180.4493604,CCCCC/C=C/B(O)O,1.5,L3.74,1.5,3.3,dioxane/H2O,O=C1C=CCCC1,30,3,81
323,6.5,0.36,0,0,-0.17,0,0,-0.15,1,289.2405646,142.5006546,164.0748693,164.0748693,0,0,0,21.5742147,0,0,84.57992612,320.544871,0.5,[Rh(C2H4)2Cl]2,17.13817676,0,18.58004591,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,2.4,L3.82,2.5,6,dioxane/H2O,O=[N+](C1=CC=C(/C=C/CCC2=CC=CC=C2)C=C1)[O-],80,0.5,84
324,2.5,0.36,0,0,-0.17,0,0,-0.15,1,287.2249145,130.1441957,151.7184104,151.7184104,0,0,0,21.5742147,0,0,84.57992612,308.1884121,0.5,[Rh(C2H4)2Cl]2,17.13817676,0,18.58004591,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,2.4,L3.83,2.5,6,dioxane/H2O,O=[N+](C1=CC=C(/C=C/CCC2=CC=CC=C2)C=C1)[O-],80,0.5,24
325,5,0.36,0,0,-0.17,0,0,-0.15,1,295.1936144,128.6308041,150.2050188,150.2050188,0,0,0,21.5742147,0,0,84.57992612,306.6750204,0.5,[Rh(C2H4)2Cl]2,17.13817676,0,18.58004591,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,2.4,L3.84,2.5,6,dioxane/H2O,O=[N+](C1=CC=C(/C=C/CCC2=CC=CC=C2)C=C1)[O-],80,0.5,44
326,4.5,0.36,0,0,-0.17,0,0,-0.15,1,385.2405646,218.5368649,240.1110795,240.1110795,0,0,0,21.5742147,0,0,84.57992612,396.5810812,0.5,[Rh(C2H4)2Cl]2,16.08830599,0,18.36554259,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,2.4,L3.85,2.5,6,dioxane/H2O,CCCC/C=C/C1=NC=C([N+]([O-])=O)C=C1,80,0.5,91
327,2.5,0.36,0,0,-0.17,0,0,-0.15,1,385.2405646,218.5368649,240.1110795,240.1110795,0,0,0,21.5742147,0,0,84.57992612,396.5810812,0.5,[Rh(C2H4)2Cl]2,20.21646842,0,18.72206172,0,Lam,234.8336777,CC1(C)OB(C2=CC=CC=C2O)OC1(C)C,2,L3.85,5,10,dioxane/H2O,ClC1=CC(C(F)(F)F)=CN=C1/C=C/CCC,80,16,72
328,2.5,0.36,0,0,-0.17,0,0,-0.15,1,385.2405646,218.5368649,240.1110795,240.1110795,0,0,0,21.5742147,0,0,84.57992612,396.5810812,0.5,[Rh(C2H4)2Cl]2,20.21646842,0,18.72206172,0,Lam,252.1296629,CC1(C)OB(C2=CC(C)=CC=C2O)OC1(C)C,4,L3.85,5,10,dioxane/H2O,ClC1=CC(C(F)(F)F)=CN=C1/C=C/CCC,100,16,62
329,4,0.36,0,0,-0.17,0,0,-0.15,1,385.2405646,218.5368649,240.1110795,240.1110795,0,0,0,21.5742147,0,0,84.57992612,396.5810812,0.5,[Rh(C2H4)2Cl]2,18.13666273,0,18.00902347,0,Lam,234.8336777,CC1(C)OB(C2=CC=CC=C2O)OC1(C)C,4,L3.85,5,10,dioxane/H2O,ClC1=CC(C#N)=CN=C1/C=C/CCCCCC,100,16,56
330,3.5,0.36,0,0,-0.17,0,0,-0.15,1,385.2405646,218.5368649,240.1110795,240.1110795,0,0,0,21.5742147,0,0,84.57992612,396.5810812,0.5,[Rh(C2H4)2Cl]2,17.13817676,0,29.17730978,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,2.4,L3.85,1.25,3,dioxane/H2O,C[Si](C(C)(C)C)(C)OCCC/C=C/C1=CC=C([N+]([O-])=O)C=C1,80,1.5,88
331,6.5,0.36,0,0,-0.17,0,0,-0.15,1,385.2405646,218.5368649,240.1110795,240.1110795,0,0,0,21.5742147,0,0,84.57992612,396.5810812,0.5,[Rh(C2H4)2Cl]2,20.02084097,0,18.36554259,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,2.4,L3.85,2.5,6,dioxane/H2O,CCCC/C=C/C1=CC(C)=C([N+]([O-])=O)C=C1,80,1,79
332,3,0.36,0,0,-0.17,0,0,-0.15,1,385.2405646,218.5368649,240.1110795,240.1110795,0,0,0,21.5742147,0,0,84.57992612,396.5810812,0.5,[Rh(C2H4)2Cl]2,17.13817676,0,18.58004591,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,2.4,L3.85,2.5,6,dioxane/H2O,O=[N+](C1=CC=C(/C=C/CCC2=CC=CC=C2)C=C1)[O-],80,0.5,95
333,1,0.36,0,0,-0.17,0,0,-0.15,1,380.2827638,216.3874908,237.9617055,237.9617055,0,0,0,21.5742147,0,0,84.57992612,394.4317072,0.5,[Rh(C2H4)2Cl]2,16.07246394,0,31.15753054,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,2.4,L3.86,2.5,6,dioxane/H2O,C[Si](C)(C(C)(C)C)OCC/C=C/C1=NC=CC=N1,80,0.5,72
334,1.5,0.36,0,0,-0.17,0,0,-0.15,1,380.2827638,216.3874908,237.9617055,237.9617055,0,0,0,21.5742147,0,0,84.57992612,394.4317072,0.5,[Rh(C2H4)2Cl]2,16.07246394,0,31.15753054,0,Lam,140.6915573,FC(C=C1)=CC=C1B(O)O,2.4,L3.86,2.5,6,dioxane/H2O,C[Si](C)(C(C)(C)C)OCC/C=C/C1=NC=CC=N1,80,0.5,65
335,3.5,0.36,0,0,-0.17,0,0,-0.15,1,380.2827638,216.3874908,237.9617055,237.9617055,0,0,0,21.5742147,0,0,84.57992612,394.4317072,0.5,[Rh(C2H4)2Cl]2,14.67972665,0,19.22207626,0,Lam,210.513249,ClC1=CC(B(O)O)=CC=C1OC(C)C,2.4,L3.86,2.5,6,dioxane/H2O,C12=CC=CC=C1OC(/C=C/C3=CC=CC=C3)=N2,80,0.5,69
336,3.5,0.36,0,0,-0.17,0,0,-0.15,1,380.2827638,216.3874908,237.9617055,237.9617055,0,0,0,21.5742147,0,0,84.57992612,394.4317072,0.5,[Rh(C2H4)2Cl]2,14.67972665,0,19.22207626,0,Lam,175.2785624,OB(C1=CC=C(C=CC=C2)C2=C1)O,2.4,L3.86,2.5,6,dioxane/H2O,C12=CC=CC=C1OC(/C=C/C3=CC=CC=C3)=N2,80,0.5,78
337,2.5,0.36,0,0,-0.17,0,0,-0.15,1,380.2827638,216.3874908,237.9617055,237.9617055,0,0,0,21.5742147,0,0,84.57992612,394.4317072,0.5,[Rh(C2H4)2Cl]2,18.54060741,0,18.36554259,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,2.4,L3.86,2.5,6,dioxane/H2O,CCCC/C=C/C1=NC2=CC=CC=C2C=C1,80,0.5,56
338,3.25,0.36,0,0,-0.17,0,0,-0.15,1,380.2827638,216.3874908,237.9617055,237.9617055,0,0,0,21.5742147,0,0,84.57992612,394.4317072,0.5,[Rh(C2H4)2Cl]2,18.54060741,0,18.36554259,0,Lam,151.9199836,CC1=CC(B(O)O)=CC=C1,2.4,L3.86,2.5,6,dioxane/H2O,CCCC/C=C/C1=NC2=CC=CC=C2C=C1,80,0.5,71
339,5,0.36,0,0,-0.17,0,0,-0.15,1,380.2827638,216.3874908,237.9617055,237.9617055,0,0,0,21.5742147,0,0,84.57992612,394.4317072,0.5,[Rh(C2H4)2Cl]2,20.98888397,0,18.58004591,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,2,L3.86,2.5,6,dioxane/H2O,C12=CC=CC=C1N=CC(/C=C/CCC3=CC=CC=C3)=N2,80,0.5,80
340,2,0.36,0,0,-0.17,0,0,-0.15,1,380.2827638,216.3874908,237.9617055,237.9617055,0,0,0,21.5742147,0,0,84.57992612,394.4317072,0.5,[Rh(C2H4)2Cl]2,17.13817676,0,18.58004591,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,2.4,L3.86,2.5,6,dioxane/H2O,O=[N+](C1=CC=C(/C=C/CCC2=CC=CC=C2)C=C1)[O-],80,0.5,35
341,15,0.36,0,0,-0.17,0,0,-0.15,1,275.188529,104.3424522,125.9166669,125.9166669,0,0,0,21.5742147,0,0,84.57992612,282.3866686,0.5,[Rh(C2H4)2Cl]2,17.13817676,0,18.58004591,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,2.4,L3.87,2.5,6,dioxane/H2O,O=[N+](C1=CC=C(/C=C/CCC2=CC=CC=C2)C=C1)[O-],120,0.5,76
342,0.3,0,0,0,-0.17,0,0,-0.15,0,220.1827154,64.9564121,86.53062679,86.53062679,0,0,0,21.5742147,0,0,84.57992612,243.0006285,0.5,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,166.5795098,OB(/C=C/C1=CC=CC=C1)O,1.5,L3.74,1.5,3.3,dioxane/H2O,O=C1C=CCCC1,30,3,97
